ФКТ;Заочное;ЭСБ;Электронные системы безопасности;;1-й курс;683371,683372;Математика##Экзамен,Экономика##Экзамен,История##Зачет,Ин.яз 1##Зачет,Бел.яз. (культура речи)##Зачет,Философия##Экзамен,Политология##Зачет;Математика##Экзамен,МППиУ##Зачет,ОАиП (ВМиП)##Экзамен,Ин.яз 1##Экзамен,Логика##Зачет,Физика##Экзамен,НГиИГ##Экзамен;
ФКТ;Заочное;ПМС;Программируемые мобильные системы;;1-й курс;683871;Математика##Экзамен,ОКТиПМЭС##Экзамен,Экономика##Экзамен,История##Зачет,Ин.яз 1##Зачет,Бел.яз. (культура речи)##Зачет,Философия##Экзамен,Политология##Зачет;Математика##Экзамен,МППиУ##Зачет,ОАиП (ВМиП)##Экзамен,Ин.яз 1##Экзамен,Логика##Зачет,Физика##Экзамен;
ФКТ;Заочное;ЭЭБ;Экономика электронного бизнеса;;1-й курс;683971;ОАиП (ЭИ)##Экзамен,Математика##Экзамен,Эк. теория (мен)##Экзамен,История##Зачет,ИКГ##Зачет,Бел.яз. (культура речи)##Зачет,Философия##Экзамен,Социология##Зачет,Ин.яз 2##Зачет,Политология##Зачет;Математика##Экзамен,ЭИО##Зачет,МЭ##Зачет,Логика##Зачет,Ин.яз 2##Экзамен,ЭС##Зачет,ПООЭБ (мен)#Курсовой проект#Зачет,ОООП##Экзамен;
ФКТ;Заочное;ИПОИТ;Инженерно-психологическое обеспечение информационных технологий;;2-й курс;580971;ИПФ##Экзамен,ПППД##Экзамен,ДМ##Экзамен,ЭргС#Курсовая работа#Экзамен,ПВИ##Экзамен,ТВ и МС##Экзамен,ОЗИ##Зачет,ТЭЦ##Зачет;ОСБД#Курсовой проект#Экзамен,УИП (ипиэ)##Экзамен,Схемотехника (ипиэ)##Экзамен,ПВИ##Экзамен,ИИС##Экзамен,МСТ##Зачет;
ФКТ;Заочное;ПОИТ;Программное обеспечение информационных технологий;;2-й курс;581071,581072,581073,581074;ТВ и МС (поит)##Экзамен,ДМ##Экзамен,ТРПО##Зачет,ТИ##Экзамен,ООТПиСП##Экзамен,ОЗИ##Зачет,КСиС#Курсовой проект#Экзамен;СПП##Экзамен,ТК##Зачет,ОСиСП#Курсовой проект#Экзамен,ООТПиСП##Экзамен,БД (поит)#Курсовая работа#Экзамен,НПО##Экзамен;
ФКТ;Заочное;ПЭ;Промышленная электроника;;2-й курс;581971,581972;Физика##Экзамен,ОАПЭЦ##Зачет,ФОЭТ##Экзамен,ТВ и МС##Экзамен,ОЗИ##Зачет,ЭП##Экзамен,ТЭЦ##Экзамен,ТОИИТ (мис)##Зачет;ОБиПвРЭ##Экзамен,САУ#Курсовая работа#Зачет,СЦУ##Экзамен,МТ (тоэ)##Зачет,МиМ##Экзамен,СУБД (итас)##Экзамен;
ФКТ;Заочное;ИСиТ;Информационные системы и технологии (по направлениям);;2-й курс;582371;ОДМиТА##Зачет,ООП (ЭИ)##Экзамен,ПСП#Курсовой проект#Экзамен,Микро-макроэкономика##Зачет,ВСРПП##Экзамен,Осн. менедж.##Зачет,ТВ и МС##Экзамен,ОЗИ##Зачет,КС##Экзамен;ЭММиМ##Экзамен,САПИС (РВП)#Курсовой проект#Экзамен,Эконометрика##Экзамен,БУ, АиА (с модулем ФП)##Зачет,Статистика##Зачет,Микро-макроэкономика##Экзамен,БД (эи)##Экзамен;
ФКТ;Заочное;ИТиУТС;Информационные технологии и управление в технических системах;;2-й курс;582471;Физика##Экзамен,МОТС#Курсовой проект#Экзамен,ТПИ##Зачет,ТВ и МС##Экзамен,ОЗИ##Зачет,ТЭЦ##Экзамен,Схемотехника в СУ##Экзамен;ОСАП (су)##Экзамен,ТАУ##Экзамен,ТРПОСУ##Экзамен,ОБиПвИТ##Экзамен,ЭиУ СУ##Зачет,Схемотехника в СУ#Курсовой проект#Экзамен;
ФКТ;Заочное;ИТиУТС;Информационные технологии и управление в технических системах;Из ВГКС;2-й курс;582472,582473;Физика##Экзамен,МОТС#Курсовой проект#Экзамен,ТПИ##Зачет,ТВ и МС##Экзамен,ОЗИ##Зачет,ТЭЦ##Экзамен,Схемотехника в СУ##Экзамен;ОСАП (су)##Экзамен,ТАУ##Экзамен,ТРПОСУ##Экзамен,ОБиПвИТ##Экзамен,ЭиУ СУ##Зачет,Схемотехника в СУ#Курсовой проект#Экзамен;
ФКТ;Заочное;ЭСБ;Электронные системы безопасности;;2-й курс;583371,583372;Физика##Экзамен,ФХОМиНЭ##Экзамен,ППВГ#Курсовая работа#Зачет,ТВ и МС##Экзамен,ОЗИ##Зачет,ЭП##Экзамен,Осн РФ##Экзамен;ОБиПвРЭ##Экзамен,ММвПИЭ##Экзамен,ЭиЭКУиС##Экзамен,ИУСБ (пикс)#Курсовой проект#Зачет,ЭУСБ##Экзамен,Осн.РЭ##Экзамен,ДЭСБ##Зачет;
