id;Курс;Группа;Предметы
41;1-й курс;681074;Экономика,История,ИКГ,Бел.яз. (культура речи),Философия,Ин.яз 2,ОАиП (ПОИТ),Политология,ОКТ,МППиУ,Логика,Физика,АОКТ,ЯП,СиАОД
42;1-й курс;681075;Экономика,История,ИКГ,Бел.яз. (культура речи),Философия,Ин.яз 2,ОАиП (ПОИТ),Политология,ОКТ,МППиУ,Логика,Физика,АОКТ,ЯП,СиАОД
43;1-й курс;681971;Экономика,История,Бел.яз. (культура речи),Философия,Ин.яз 2,Химия,Политология,Математика,ПИиПвИО,ОАиП (ВМиП),Физика,НГиИГ
44;1-й курс;681972;Экономика,История,Бел.яз. (культура речи),Философия,Ин.яз 2,Химия,Политология,Математика,ПИиПвИО,ОАиП (ВМиП),Физика,НГиИГ
45;1-й курс;682371;Математика,Экономика,История,ИКГ,Бел.яз. (культура речи),Философия,Ин.яз 2,ОКП (эи),Политология,ПСОД,ТРПП,Логика,Физика,ООП (ЭИ),УИП
46;1-й курс;682471;Экономика,История,Бел.яз. (культура речи),Философия,Ин.яз 2,Политология,Математика,ПИиПвИО,ОАиП (ВМиП),Физика,МОТС
47;1-й курс;682472;Экономика,История,Бел.яз. (культура речи),Философия,Ин.яз 2,Политология,Математика,ПИиПвИО,ОАиП (ВМиП),Физика,МОТС
48;1-й курс;682473;Экономика,История,Бел.яз. (культура речи),Философия,Ин.яз 2,Политология,Математика,ПИиПвИО,ОАиП (ВМиП),Физика,МОТС
49;1-й курс;683371;Экономика,История,Ин.яз 1,Бел.яз. (культура речи),Философия,Политология,МППиУ,ОАиП (ВМиП),Логика,Физика,НГиИГ
50;1-й курс;683372;Экономика,История,Ин.яз 1,Бел.яз. (культура речи),Философия,Политология,МППиУ,ОАиП (ВМиП),Логика,Физика,НГиИГ
51;1-й курс;683871;ОКТиПМЭС,Экономика,История,Ин.яз 1,Бел.яз. (культура речи),Философия,Политология,МППиУ,ОАиП (ВМиП),Логика,Физика
52;1-й курс;683971;Математика,Эк. теория (мен),История,ИКГ,Бел.яз. (культура речи),Философия,Социология,Ин.яз 2,Политология,ЭИО,МЭ,Логика,ЭС,ПООЭБ (мен),ОООП
53;2-й курс;580971;ПППД,ДМ,ЭргС,ПВИ,ТВ и МС,ОЗИ,ТЭЦ,УИП (ипиэ),Схемотехника (ипиэ),ИИС,МСТ
54;2-й курс;581071;ДМ,ТРПО,ТИ,ООТПиСП,ОЗИ,КСиС,ТК,ОСиСП,БД (поит),НПО
55;2-й курс;581072;ДМ,ТРПО,ТИ,ООТПиСП,ОЗИ,КСиС,ТК,ОСиСП,БД (поит),НПО
56;2-й курс;581073;ДМ,ТРПО,ТИ,ООТПиСП,ОЗИ,КСиС,ТК,ОСиСП,БД (поит),НПО
57;2-й курс;581074;ДМ,ТРПО,ТИ,ООТПиСП,ОЗИ,КСиС,ТК,ОСиСП,БД (поит),НПО
58;2-й курс;581971;ОАПЭЦ,ФОЭТ,ТВ и МС,ОЗИ,ЭП,ТЭЦ,ТОИИТ (мис),САУ,СЦУ,МТ (тоэ),МиМ,СУБД (итас)
59;2-й курс;581972;ОАПЭЦ,ФОЭТ,ТВ и МС,ОЗИ,ЭП,ТЭЦ,ТОИИТ (мис),САУ,СЦУ,МТ (тоэ),МиМ,СУБД (итас)
60;2-й курс;582371;ООП (ЭИ),ПСП,Микро-макроэкономика,ВСРПП,Осн. менедж.,ТВ и МС,ОЗИ,КС,САПИС (РВП),Эконометрика,БУ, АиА (с модулем ФП),Статистика,БД (эи)
61;2-й курс;582471;МОТС,ТПИ,ТВ и МС,ОЗИ,ТЭЦ,Схемотехника в СУ,ТАУ,ТРПОСУ,ОБиПвИТ,ЭиУ СУ
62;2-й курс;582472;МОТС,ТПИ,ТВ и МС,ОЗИ,ТЭЦ,Схемотехника в СУ,ТАУ,ТРПОСУ,ОБиПвИТ,ЭиУ СУ
63;2-й курс;582473;МОТС,ТПИ,ТВ и МС,ОЗИ,ТЭЦ,Схемотехника в СУ,ТАУ,ТРПОСУ,ОБиПвИТ,ЭиУ СУ
64;2-й курс;583371;ФХОМиНЭ,ППВГ,ТВ и МС,ОЗИ,ЭП,Осн РФ,ММвПИЭ,ЭиЭКУиС,ИУСБ (пикс),ЭУСБ,Осн.РЭ,ДЭСБ
65;2-й курс;583372;ФХОМиНЭ,ППВГ,ТВ и МС,ОЗИ,ЭП,Осн РФ,ММвПИЭ,ЭиЭКУиС,ИУСБ (пикс),ЭУСБ,Осн.РЭ,ДЭСБ
66;2-й курс;583871;ДМ,ММвП (пикс),ОИКСиС,ВвКСиС,ТВ и МС,ОЗИ,ЭП,ВАвП,ОБиПвИТ,ТП,ЯП (пикс),Осн.РЭ
67;2-й курс;583971;ПСП,ЭЭБ,Финансы ,ТВ и МС,ОЗИ,ПИС,ДК ,ООПиЛвЭБ,УП,ИП,БД (эи)
68;3-й курс;480971;КрТ,ЭВТ,УИП (ипиэ),ИИП,ОБиПвИТ,ИИС,ТВР,ЭМП,ТОПО,Техн. практика, рук-во,Отв. за техн. практику
69;3-й курс;481071;ВТ (поит),МО,СПП,СТиАОС,ОБиПвИТ,АКГ,ЦОС,САиММ,РПОМП,ПиРИС,Техн. практика, рук-во,Отв. за техн. практику,ПОЦП,ПОВС
70;3-й курс;481072;ВТ (поит),МО,СПП,СТиАОС,ОБиПвИТ,АКГ,ЦОС,САиММ,РПОМП,ПиРИС,Техн. практика, рук-во,Отв. за техн. практику,ПОЦП,ПОВС
71;3-й курс;481073;ВТ (поит),МО,СПП,СТиАОС,ОБиПвИТ,АКГ,ЦОС,САиММ,РПОМП,ПиРИС,Техн. практика, рук-во,Отв. за техн. практику,ПОЦП,ПОВС
72;3-й курс;483971;Менеджмент,РСОИ,КТБ,ЭБ,ЭиЭММиМ,ПИС,ДК ,ЭПраво,БУ,КИС,ЭБП,Техн. практика, рук-во,Отв. за техн. практику,ИП
73;3-й курс;481971;ПТехника (тоэ),РиПП,СЦУ,МТ (тоэ),ТПИ,МЭУ,ВМиС,УиЭАТ,КРЭС,НИПЭ,СОИвАТ,АОЭ,ПЭУС (этт),Техн. практика, рук-во,Отв. за техн. практику
74;3-й курс;482471;ТРПОСУ,УСПЭЭдляПЭвСУ,МвСУ,ТМ,ЭиУ СУ,КТПСАУ,МвПСС,СТП,ТиОАПК,Техн. практика, рук-во,Отв. за техн. практику,ИиДОиСУ,ИОСУ
75;3-й курс;482472;ТРПОСУ,УСПЭЭдляПЭвСУ,МвСУ,ТМ,ЭиУ СУ,КТПСАУ,МвПСС,СТП,ТиОАПК,Техн. практика, рук-во,Отв. за техн. практику,ИиДОиСУ,ИОСУ
76;3-й курс;483371;ИЭСБ,АвЭСБ,МиТСОБ,ТТвЭСБ,Осн.РЭ,ТОП ЭСБ,ДЭСБ,КСвЭСБ,ПиППКУЭСБ,ПЭСБ (с модулем),КиПАЧСБ,ОБФЭСБ,ЭиЭЭСБ,Техн. практика, рук-во,Отв. за техн. практику
77;3-й курс;483871;ВМС,МВС,УиОКС,РПдля ОС,РП на языке Java,ППВГ,ТП,Осн.РЭ,ПМдляМЭС,БвКС,ПОМС,ДПиАОМС,РW-П для МС,Техн. практика, рук-во,Отв. за техн. практику
78;3-й курс;482473;ТРПОСУ,УСПЭЭдляПЭвСУ,МвСУ,ТМ,ЭиУ СУ,КТПСАУ,МвПСС,СТП,ТиОАПК,Техн. практика, рук-во,Отв. за техн. практику,ИиДОиСУ,ИОСУ
79;4-й курс;381671;ЭС,Планирование на предпр.,Логистика,Осн.экол. и энергосбереж,Ценообразование,УП,ИП,УКиС,ОиНТ,Председатель ГЭК,Секретарь ГЭК,Выпуск кафедре,Декану, зам.декана (ГЭК),Специалист внешний,Конс. по нормоконтролю,Рецензент ГЭК,Конс. КТЧ,ГЭК,Руководство ДП,Ответств. на каф за ПДП ,Ответств. на каф за ДП,Гос экз, консультации,Гос экз, прием, проверка,2-я орг-экон пр. (ЭиОП),Преддиплом. практика,Раб. комиссия,Председатель ГАК
80;4-й курс;381971;ОИБСА (стк),НСАвтотехники,ОЗИиУИС,УиЭАТ,СУБД (итас),ПЭУС (тоэ),Секретарь ГЭК,Выпуск кафедре,Декану, зам.декана (ГЭК),Специалист внешний,Конс. по нормоконтролю,Рецензент ГЭК,ГЭК,Руководство ДП,Ответств. на каф за ПДП ,Ответств. на каф за ДП,Гос экз, консультации,Гос экз, прием, проверка,Конс. по экономике,Преддиплом. практика,Раб. комиссия,Председатель ГАК
81;4-й курс;381972;ОИБСА (стк),НСАвтотехники,ОЗИиУИС,УиЭАТ,СУБД (итас),ПЭУС (тоэ),Секретарь ГЭК,Выпуск кафедре,Декану, зам.декана (ГЭК),Специалист внешний,Конс. по нормоконтролю,Рецензент ГЭК,ГЭК,Руководство ДП,Ответств. на каф за ПДП ,Ответств. на каф за ДП,Гос экз, консультации,Гос экз, прием, проверка,Конс. по экономике,Преддиплом. практика,Раб. комиссия,Председатель ГАК
